Gender,Year,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Male,80 years,14389,15085,14810,13948,13632,13204,13810,17274,16755,17450,18152,18674,20769
Male,81 years,13542,14700,15346,14848,14885,14122,13201,15198,17464,17771,18418,18479,20560
Male,82 years,13008,13834,14565,15118,15479,15436,13962,14340,15348,18153,18612,18379,19853
Male,83 years,11949,12958,13522,14476,15583,16046,14966,14925,14209,15683,18563,18531,19946
Male,84 years,10909,12129,13026,13308,14738,15894,15309,15767,14610,14564,16280,18705,19792
Male,85 years,11266,11065,11707,12477,13381,14933,15142,16156,15252,15114,14651,15878,20031
Male,86 years,11397,10733,10521,11449,12652,13375,14052,15763,15269,15311,14923,14391,16717
Male,87 years,10418,11047,10346,9891,11125,12361,12410,14172,14874,15056,14949,13970,14894
Male,88 years,9266,9969,10163,9460,9515,10731,11087,12582,13398,14426,14726,14322,14448
Male,89 years,5023,8633,9099,9293,8915,9089,9471,10876,11448,12767,13728,13436,14341
Male,90 years,3814,4394,7683,8067,8381,8274,7765,9277,9735,10886,11749,12244,13238
Male,91 years,3509,3447,3996,6886,7382,7788,7210,7644,8017,9008,9569,10224,11618
Male,92 years,3445,3089,2867,3293,6095,6462,6523,6554,6363,7460,8147,8315,9622
Male,93 years,3904,2847,2482,2322,2802,5041,5262,5666,5226,5442,6245,6559,7439
Male,94 years,3364,3153,2295,1962,1892,2188,3940,4514,4557,4488,4584,4940,5781
Male,95 years,2664,2733,2447,1731,1581,1553,1802,3280,3377,3564,3655,3381,4117
Male,96 years,1885,1995,1897,1846,1388,1180,1176,1403,2527,2721,2758,2699,2797
Male,97 years,1219,1334,1456,1428,1352,997,845,808,1076,1855,1986,2021,1983
Male,98 years,844,860,948,931,1000,1021,710,614,579,729,1295,1340,1439
Male,99 years,521,598,549,612,647,689,575,476,403,419,465,831,995
Male,100 years and over,762,823,829,846,886,1066,1006,1082,907,846,747,708,1046
Male,Total,397650,404969,409022,407628,416423,429645,422225,449512,448304,457756,470032,465885,492797
Female,under 1 year,1033,995,1028,1061,995,982,1018,1108,1204,1148,1106,1098,1090
Female,1 year,95,88,95,80,66,89,88,84,83,90,108,72,78
Female,2 years,60,47,53,49,46,37,38,42,43,41,54,49,50
Female,3 years,51,43,33,36,40,37,33,48,41,32,39,35,41
Female,4 years,46,38,40,42,31,26,34,31,28,41,33,38,33
Female,5 years,32,32,31,40,38,32,14,27,36,33,25,36,14
Female,6 years,27,34,29,27,18,29,16,22,30,32,31,27,21
Female,7 years,24,38,23,29,28,22,19,20,12,24,13,23,15
Female,8 years,30,21,29,29,28,27,18,21,25,21,28,21,28
Female,9 years,25,22,31,23,18,20,26,16,25,18,22,13,22
Female,10 years,31,33,23,24,18,21,15,25,22,18,22,19,19
Female,11 years,32,36,35,21,18,20,23,29,27,25,30,34,19
Female,12 years,26,33,23,38,23,32,20,38,27,30,27,20,21
Female,13 years,42,34,34,37,28,30,35,24,35,41,26,30,29
Female,14 years,50,51,29,46,26,44,36,43,39,30,32,39,29
Female,15 years,53,59,48,39,51,54,38,59,47,44,45,43,39
Female,16 years,67,72,55,55,42,63,52,64,50,61,58,44,40
Female,17 years,86,66,78,52,54,64,48,66,61,42,57,47,43
Female,18 years,91,105,100,88,98,70,83,80,83,78,77,62,51
Female,19 years,91,103,95,82,69,81,78,76,81,70,67,70,63
Female,20 years,101,107,114,95,55,87,77,80,72,92,72,66,69
Female,21 years,105,103,102,101,87,78,69,80,61,79,72,74,75
Female,22 years,101,122,99,109,102,75,75,72,80,70,61,87,74
Female,23 years,100,114,123,98,100,113,115,101,83,79,77,60,81
Female,24 years,113,106,98,89,116,107,88,88,70,90,87,73,61
Female,25 years,115,106,116,95,109,113,92,98,92,82,99,84,84
Female,26 years,139,132,108,103,98,110,88,108,104,97,82,78,92
Female,27 years,146,126,139,130,111,109,99,121,117,112,107,105,97
Female,28 years,129,129,120,128,125,118,120,133,128,120,126,119,121
Female,29 years,113,136,141,151,121,139,123,142,124,145,141,132,120
Female,30 years,131,131,134,151,119,144,131,143,168,167,162,159,136
Female,31 years,151,150,139,146,131,153,148,179,149,159,176,174,169
Female,32 years,134,186,157,159,141,178,159,174,190,155,177,191,167
Female,33 years,150,153,170,188,193,191,178,188,176,176,197,166,185
Female,34 years,180,208,191,188,182,185,183,213,198,225,201,192,197
Female,35 years,228,178,203,167,211,211,185,217,200,220,219,249,253
Female,36 years,242,230,223,216,204,211,223,232,232,213,264,250,228
Female,37 years,290,302,254,238,218,242,209,214,239,241,242,294,256
Female,38 years,378,329,283,278,252,267,256,268,306,284,308,285,273
Female,39 years,439,401,385,351,292,298,291,287,255,300,323,330,347
Female,40 years,494,465,423,402,352,356,284,305,356,324,306,322,324
Female,41 years,564,551,522,466,452,389,389,328,365,317,368,339,374
Female,42 years,644,613,624,541,530,489,443,414,381,350,389,383,399
Female,43 years,740,732,656,710,594,566,502,499,434,421,449,389,444
Female,44 years,818,801,819,721,705,677,607,594,540,475,448,433,465
Female,45 years,933,943,855,877,749,766,694,657,662,626,565,474,517
