Year_2,Sex,Age,pop_by_gender_year_age
2013,Male,10 - 14,1938319
2013,Male,15 - 19,2074011
2013,Male,20 - 24,2407043
2013,Male,25 - 29,2543002
2013,Male,30 - 34,2500992
2013,Male,35 - 39,2333889
2013,Male,40 - 44,2857420
2013,Male,45 - 49,3510336
2013,Male,5 - 9,1788517
2013,Male,50 - 54,3324118
2013,Male,55 - 59,2790222
2013,Male,60 - 64,2454883
2013,Male,65 - 69,1886453
2013,Male,70 - 74,2201942
2013,Male,75 - 79,1645966
2013,Male,80 - 84,902951
2013,Male,85 - over,565105
2014,Female,0 - 4,1679832
2014,Female,10 - 14,1813658
2014,Female,15 - 19,1968413
2014,Female,20 - 24,2252466
2014,Female,25 - 29,2490930
2014,Female,30 - 34,2484264
2014,Female,35 - 39,2338926
2014,Female,40 - 44,2646103
2014,Female,45 - 49,3357095
2014,Female,5 - 9,1699098
2014,Female,50 - 54,3366917
2014,Female,55 - 59,2900162
2014,Female,60 - 64,2634297
2014,Female,65 - 69,2061786
2014,Female,70 - 74,2432159
2014,Female,75 - 79,2242694
2014,Female,80 - 84,1418598
2014,Female,85 - over,1498944
2014,Male,0 - 4,1768122
2014,Male,10 - 14,1912952
2014,Male,15 - 19,2085232
2014,Male,20 - 24,2371715
2014,Male,25 - 29,2615698
2014,Male,30 - 34,2550763
2014,Male,35 - 39,2374936
2014,Male,40 - 44,2687989
2014,Male,45 - 49,3444917
2014,Male,5 - 9,1790923
2014,Male,50 - 54,3415841
2014,Male,55 - 59,2870852
2014,Male,60 - 64,2489669
2014,Male,65 - 69,1904861
2014,Male,70 - 74,2113110
2014,Male,75 - 79,1760829
2014,Male,80 - 84,928611
2014,Male,85 - over,609198
2015,Female,0 - 4,1727863
2015,Female,10 - 14,1799395
2015,Female,15 - 19,1986316
2015,Female,20 - 24,2208869
2015,Female,25 - 29,2551887
2015,Female,30 - 34,2509410
2015,Female,35 - 39,2401819
2015,Female,40 - 44,2522208
2015,Female,45 - 49,3269695
2015,Female,5 - 9,1717821
2015,Female,50 - 54,3422894
2015,Female,55 - 59,2981775
2015,Female,60 - 64,2661823
2015,Female,65 - 69,2167244
2015,Female,70 - 74,2244090
2015,Female,75 - 79,2339015
2015,Female,80 - 84,1473263
2015,Female,85 - over,1526460
2015,Male,0 - 4,1822117
2015,Male,10 - 14,1902857
2015,Male,15 - 19,2142063
2015,Male,20 - 24,2378237
2015,Male,25 - 29,2725369
2015,Male,30 - 34,2611563
2015,Male,35 - 39,2453364
2015,Male,40 - 44,2564978
2015,Male,45 - 49,3353372
2015,Male,5 - 9,1813879
2015,Male,50 - 54,3482817
2015,Male,55 - 59,2964114
2015,Male,60 - 64,2515694
2015,Male,65 - 69,2003147
2015,Male,70 - 74,1953617
2015,Male,75 - 79,1850588
2015,Male,80 - 84,987296
2015,Male,85 - over,649744
2016,Female,0 - 4,1792557
2016,Female,10 - 14,1789187
2016,Female,15 - 19,1992983
2016,Female,20 - 24,2183706
2016,Female,25 - 29,2584310
2016,Female,30 - 34,2532844
2016,Female,35 - 39,2472449
2016,Female,40 - 44,2432456
2016,Female,45 - 49,3159165
2016,Female,5 - 9,1746432
2016,Female,50 - 54,3450998
2016,Female,55 - 59,3072266
2016,Female,60 - 64,2690311
2016,Female,65 - 69,2314129
2016,Female,70 - 74,2036524
2016,Female,75 - 79,2399555
2016,Female,80 - 84,1550183
2016,Female,85 - over,1543024
2016,Male,0 - 4,1892441
2016,Male,10 - 14,1897747
2016,Male,15 - 19,2188435
2016,Male,20 - 24,2397250
2016,Male,25 - 29,2792912
2016,Male,30 - 34,2661626
2016,Male,35 - 39,2532444
2016,Male,40 - 44,2473583
2016,Male,45 - 49,3232646
2016,Male,5 - 9,1846492
2016,Male,50 - 54,3518541
2016,Male,55 - 59,3058620
2016,Male,60 - 64,2551358
2016,Male,65 - 69,2133467
2016,Male,70 - 74,1775544
2016,Male,75 - 79,1910175
2016,Male,80 - 84,1059510
2016,Male,85 - over,682865
2017,Female,0 - 4,1850210
2017,Female,10 - 14,1786090
2017,Female,15 - 19,1967364
2017,Female,20 - 24,2183771
2017,Female,25 - 29,2563956
2017,Female,30 - 34,2559227
2017,Female,35 - 39,2525426
2017,Female,40 - 44,2385381
2017,Female,45 - 49,3020616
2017,Female,5 - 9,1763769
2017,Female,50 - 54,3454057
2017,Female,55 - 59,3161802
2017,Female,60 - 64,2727445
2017,Female,65 - 69,2418119
2017,Female,70 - 74,1939321
2017,Female,75 - 79,2384933
2017,Female,80 - 84,1646988
2017,Female,85 - over,1548219
2017,Male,0 - 4,1951404
2017,Male,10 - 14,1894392
2017,Male,15 - 19,2159356
2017,Male,20 - 24,2404505
2017,Male,25 - 29,2768465
2017,Male,30 - 34,2696440
2017,Male,35 - 39,2585201
2017,Male,40 - 44,2419793
2017,Male,45 - 49,3080986
2017,Male,5 - 9,1864305
2017,Male,50 - 54,3522122
2017,Male,55 - 59,3150521
2017,Male,60 - 64,2600725
2017,Male,65 - 69,2219381
2017,Male,70 - 74,1694104
2017,Male,75 - 79,1907558
2017,Male,80 - 84,1143106
2017,Male,85 - over,708012
2018,Female,0 - 4,1892431
2018,Female,10 - 14,1792629
2018,Female,15 - 19,1935018
2018,Female,20 - 24,2190850
2018,Female,25 - 29,2522830
2018,Female,30 - 34,2599252
2018,Female,35 - 39,2567259
2018,Female,40 - 44,2389957
2018,Female,45 - 49,2858182
2018,Female,5 - 9,1775431
2018,Female,50 - 54,3427893
2018,Female,55 - 59,3252884
2018,Female,60 - 64,2772628
2018,Female,65 - 69,2488204
2018,Female,70 - 74,1922040
2018,Female,75 - 79,2308383
2018,Female,80 - 84,1761509
2018,Female,85 - over,1543296
2018,Male,0 - 4,1994159
2018,Male,10 - 14,1899846
2018,Male,15 - 19,2107007
2018,Male,20 - 24,2414045
2018,Male,25 - 29,2722880
2018,Male,30 - 34,2750391
2018,Male,35 - 39,2633056
2018,Male,40 - 44,2425094
2018,Male,45 - 49,2905723
2018,Male,5 - 9,1876798
2018,Male,50 - 54,3494107
2018,Male,55 - 59,3246985
2018,Male,60 - 64,2661860
2018,Male,65 - 69,2271894
2018,Male,70 - 74,1682190
2018,Male,75 - 79,1854023
2018,Male,80 - 84,1236897
2018,Male,85 - over,728195
2019,Female,0 - 4,1920985
2019,Female,10 - 14,1797757
2019,Female,15 - 19,1910589
2019,Female,20 - 24,2192097
2019,Female,25 - 29,2467945
2019,Female,30 - 34,2645203
2019,Female,35 - 39,2595094
2019,Female,40 - 44,2420438
2019,Female,45 - 49,2698361
2019,Female,5 - 9,1796096
2019,Female,50 - 54,3366096
2019,Female,55 - 59,3333730
2019,Female,60 - 64,2833255
2019,Female,65 - 69,2531686
2019,Female,70 - 74,1936238
2019,Female,75 - 79,2204583
2019,Female,80 - 84,1874234
2019,Female,85 - over,1566443
2019,Male,0 - 4,2022905
2019,Male,10 - 14,1904792
2019,Male,15 - 19,2060774
2019,Male,20 - 24,2415756
2019,Male,25 - 29,2665961
2019,Male,30 - 34,2807174
2019,Male,35 - 39,2668220
2019,Male,40 - 44,2454947
2019,Male,45 - 49,2730580
2019,Male,5 - 9,1898511
2019,Male,50 - 54,3426998
2019,Male,55 - 59,3334034
2019,Male,60 - 64,2737590
2019,Male,65 - 69,2302082
2019,Male,70 - 74,1699084
2019,Male,75 - 79,1778321
2019,Male,80 - 84,1328709
2019,Male,85 - over,765739
2020,Female,0 - 4,1931362
2020,Female,10 - 14,1803374
2020,Female,15 - 19,1882844
2020,Female,20 - 24,2184103
2020,Female,25 - 29,2399312
2020,Female,30 - 34,2684804
2020,Female,35 - 39,2604047
2020,Female,40 - 44,2470887
2020,Female,45 - 49,2567001
2020,Female,5 - 9,1825764
2020,Female,50 - 54,3274280
2020,Female,55 - 59,3385056
2020,Female,60 - 64,2909949
2020,Female,65 - 69,2555912
2020,Female,70 - 74,2034687
2020,Female,75 - 79,2030195
2020,Female,80 - 84,1961089
2020,Female,85 - over,1624163
2020,Male,0 - 4,2033898
2020,Male,10 - 14,1910631
2020,Male,15 - 19,2015167
2020,Male,20 - 24,2405361
2020,Male,25 - 29,2594396
2020,Male,30 - 34,2853603
2020,Male,35 - 39,2685998
2020,Male,40 - 44,2501073
2020,Male,45 - 49,2587611
2020,Male,5 - 9,1929508
2020,Male,50 - 54,3324452
2020,Male,55 - 59,3392258
2020,Male,60 - 64,2823009
2020,Male,65 - 69,2323158
2020,Male,70 - 74,1786398
2020,Male,75 - 79,1642031
2020,Male,80 - 84,1401305
2020,Male,85 - over,822231
