Age,Male,Female,Total,Year,Country,,,,,
51 years,651105,640184,1291289,2020,Ger,,,,,
52 years,672807,662604,1335411,2020,Ger,,,,,
53 years,688489,678759,1367247,2020,Ger,,,,,
54 years,697296,686592,1383888,2020,Ger,,,,,
55 years,702367,692728,1395095,2020,Ger,,,,,
56 years,702223,695535,1397757,2020,Ger,,,,,
57 years,683736,681262,1364998,2020,Ger,,,,,
58 years,662371,665877,1328248,2020,Ger,,,,,
59 years,641561,649654,1291215,2020,Ger,,,,,
60 years,617786,628237,1246022,2020,Ger,,,,,
61 years,588018,600556,1188573,2020,Ger,,,,,
62 years,559895,575818,1135713,2020,Ger,,,,,
63 years,540006,560694,1100700,2020,Ger,,,,,
64 years,517304,544644,1061947,2020,Ger,,,,,
65 years,495831,532347,1028178,2020,Ger,,,,,
66 years,475038,519282,994319,2020,Ger,,,,,
67 years,460781,509294,970075,2020,Ger,,,,,
68 years,450637,501566,952203,2020,Ger,,,,,
69 years,440871,493423,934294,2020,Ger,,,,,
70 years,428684,481252,909935,2020,Ger,,,,,
71 years,398562,447793,846355,2020,Ger,,,,,
72 years,363057,411701,774758,2020,Ger,,,,,
73 years,321985,370954,692939,2020,Ger,,,,,
74 years,274110,322987,597097,2020,Ger,,,,,
75 years,292841,350799,643640,2020,Ger,,,,,
76 years,330639,399047,729686,2020,Ger,,,,,
77 years,319752,390920,710672,2020,Ger,,,,,
78 years,336632,421743,758374,2020,Ger,,,,,
79 years,362167,467686,829853,2020,Ger,,,,,
80 years,350651,465752,816403,2020,Ger,,,,,
81 years,317675,433057,750732,2020,Ger,,,,,
82 years,277092,388492,665583,2020,Ger,,,,,
83 years,242763,352138,594901,2020,Ger,,,,,
84 years,213124,321650,534774,2020,Ger,,,,,
85 years and over,822231,1624163,2446393,2020,Ger,,,,,
Total,41032066,42128805,83160871,2020,Ger,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
