Year,Gender,Age Range,Deaths,Country,Total
2011,Female,80 - 84,79771.0,Germany,151469.0
2011,Female,85 - over,206850.0,Germany,289344.0
2011,Male,0 - 4,1603.0,Germany,2871.0
2011,Male,10 - 14,229.0,Germany,395.0
2011,Male,15 - 19,718.0,Germany,1034.0
2011,Male,20 - 24,1432.0,Germany,1924.0
2011,Male,25 - 29,1425.0,Germany,2032.0
2011,Male,30 - 34,1776.0,Germany,2608.0
2011,Male,35 - 39,2314.0,Germany,3564.0
2011,Male,40 - 44,5108.0,Germany,7948.0
2011,Male,45 - 49,9852.0,Germany,15382.0
2011,Male,5 - 9,163.0,Germany,311.0
2011,Male,50 - 54,15659.0,Germany,24012.0
2011,Male,55 - 59,21709.0,Germany,33136.0
2011,Male,60 - 64,27808.0,Germany,43202.0
2011,Male,65 - 69,36276.0,Germany,56576.0
2011,Male,70 - 74,61233.0,Germany,99387.0
2011,Male,75 - 79,66131.0,Germany,117133.0
2011,Male,80 - 84,71698.0,Germany,151469.0
2011,Male,85 - over,82494.0,Germany,289344.0
2012,Female,0 - 4,1178.0,Germany,2626.0
2012,Female,10 - 14,113.0,Germany,326.0
2012,Female,15 - 19,314.0,Germany,1020.0
2012,Female,20 - 24,460.0,Germany,1696.0
2012,Female,25 - 29,564.0,Germany,1936.0
2012,Female,30 - 34,766.0,Germany,2451.0
2012,Female,35 - 39,1177.0,Germany,3349.0
2012,Female,40 - 44,2633.0,Germany,7403.0
2012,Female,45 - 49,5283.0,Germany,14890.0
2012,Female,5 - 9,130.0,Germany,297.0
2012,Female,50 - 54,8365.0,Germany,23848.0
2012,Female,55 - 59,11216.0,Germany,32785.0
2012,Female,60 - 64,15572.0,Germany,44447.0
2012,Female,65 - 69,19394.0,Germany,53653.0
2012,Female,70 - 74,37960.0,Germany,99018.0
2012,Female,75 - 79,53017.0,Germany,121509.0
2012,Female,80 - 84,79673.0,Germany,153990.0
2012,Female,85 - over,215344.0,Germany,304338.0
2012,Male,0 - 4,1448.0,Germany,2626.0
2012,Male,10 - 14,213.0,Germany,326.0
2012,Male,15 - 19,706.0,Germany,1020.0
2012,Male,20 - 24,1236.0,Germany,1696.0
2012,Male,25 - 29,1372.0,Germany,1936.0
2012,Male,30 - 34,1685.0,Germany,2451.0
2012,Male,35 - 39,2172.0,Germany,3349.0
2012,Male,40 - 44,4770.0,Germany,7403.0
2012,Male,45 - 49,9607.0,Germany,14890.0
2012,Male,5 - 9,167.0,Germany,297.0
2012,Male,50 - 54,15483.0,Germany,23848.0
2012,Male,55 - 59,21569.0,Germany,32785.0
2012,Male,60 - 64,28875.0,Germany,44447.0
2012,Male,65 - 69,34259.0,Germany,53653.0
2012,Male,70 - 74,61058.0,Germany,99018.0
2012,Male,75 - 79,68492.0,Germany,121509.0
2012,Male,80 - 84,74317.0,Germany,153990.0
2012,Male,85 - over,88994.0,Germany,304338.0
2013,Female,0 - 4,1171.0,Germany,2684.0
2013,Female,10 - 14,147.0,Germany,302.0
2013,Female,15 - 19,332.0,Germany,985.0
2013,Female,20 - 24,460.0,Germany,1538.0
2013,Female,25 - 29,589.0,Germany,1951.0
2013,Female,30 - 34,851.0,Germany,2591.0
2013,Female,35 - 39,1229.0,Germany,3464.0
2013,Female,40 - 44,2477.0,Germany,6811.0
2013,Female,45 - 49,5147.0,Germany,14550.0
2013,Female,5 - 9,130.0,Germany,307.0
2013,Female,50 - 54,8574.0,Germany,24400.0
2013,Female,55 - 59,11695.0,Germany,33820.0
2013,Female,60 - 64,16266.0,Germany,46113.0
2013,Female,65 - 69,19864.0,Germany,54161.0
2013,Female,70 - 74,37390.0,Germany,97568.0
2013,Female,75 - 79,56453.0,Germany,129725.0
2013,Female,80 - 84,78784.0,Germany,153486.0
2013,Female,85 - over,222621.0,Germany,319369.0
2013,Male,0 - 4,1513.0,Germany,2684.0
2013,Male,10 - 14,155.0,Germany,302.0
2013,Male,15 - 19,653.0,Germany,985.0
2013,Male,20 - 24,1078.0,Germany,1538.0
2013,Male,25 - 29,1362.0,Germany,1951.0
2013,Male,30 - 34,1740.0,Germany,2591.0
2013,Male,35 - 39,2235.0,Germany,3464.0
2013,Male,40 - 44,4334.0,Germany,6811.0
2013,Male,45 - 49,9403.0,Germany,14550.0
2013,Male,5 - 9,177.0,Germany,307.0
2013,Male,50 - 54,15826.0,Germany,24400.0
2013,Male,55 - 59,22125.0,Germany,33820.0
2013,Male,60 - 64,29847.0,Germany,46113.0
2013,Male,65 - 69,34297.0,Germany,54161.0
2013,Male,70 - 74,60178.0,Germany,97568.0
2013,Male,75 - 79,73272.0,Germany,129725.0
2013,Male,80 - 84,74702.0,Germany,153486.0
2013,Male,85 - over,96748.0,Germany,319369.0
2014,Female,0 - 4,1211.0,Germany,2691.0
2014,Female,10 - 14,129.0,Germany,317.0
2014,Female,15 - 19,299.0,Germany,929.0
2014,Female,20 - 24,424.0,Germany,1510.0
2014,Female,25 - 29,522.0,Germany,1872.0
2014,Female,30 - 34,799.0,Germany,2546.0
2014,Female,35 - 39,1164.0,Germany,3417.0
2014,Female,40 - 44,2225.0,Germany,6231.0
2014,Female,45 - 49,4844.0,Germany,13653.0
2014,Female,5 - 9,93.0,Germany,247.0
2014,Female,50 - 54,8498.0,Germany,23992.0
2014,Female,55 - 59,11559.0,Germany,33296.0
2014,Female,60 - 64,15954.0,Germany,45859.0
2014,Female,65 - 69,19116.0,Germany,51883.0
2014,Female,70 - 74,34736.0,Germany,90803.0
2014,Female,75 - 79,56676.0,Germany,131004.0
2014,Female,80 - 84,73437.0,Germany,144685.0
2014,Female,85 - over,214445.0,Germany,313421.0
2014,Male,0 - 4,1480.0,Germany,2691.0
2014,Male,10 - 14,188.0,Germany,317.0
2014,Male,15 - 19,630.0,Germany,929.0
2014,Male,20 - 24,1086.0,Germany,1510.0
2014,Male,25 - 29,1350.0,Germany,1872.0
2014,Male,30 - 34,1747.0,Germany,2546.0
2014,Male,35 - 39,2253.0,Germany,3417.0
2014,Male,40 - 44,4006.0,Germany,6231.0
2014,Male,45 - 49,8809.0,Germany,13653.0
2014,Male,5 - 9,154.0,Germany,247.0
2014,Male,50 - 54,15494.0,Germany,23992.0
2014,Male,55 - 59,21737.0,Germany,33296.0
2014,Male,60 - 64,29905.0,Germany,45859.0
2014,Male,65 - 69,32767.0,Germany,51883.0
2014,Male,70 - 74,56067.0,Germany,90803.0
2014,Male,75 - 79,74328.0,Germany,131004.0
2014,Male,80 - 84,71248.0,Germany,144685.0
2014,Male,85 - over,98976.0,Germany,313421.0
2015,Female,0 - 4,1313.0,Germany,2869.0
2015,Female,10 - 14,159.0,Germany,323.0
2015,Female,15 - 19,345.0,Germany,989.0
2015,Female,20 - 24,421.0,Germany,1535.0
2015,Female,25 - 29,602.0,Germany,2065.0
2015,Female,30 - 34,897.0,Germany,2788.0
