Year_1,Sex,Age,population_by_gender_year_age
2013,Males,70 - 74,107976
2013,Males,75 - 79,81987
2013,Males,80 - 85,54199
2013,Males,85 - over,36549
2014,Females,0 - 4,146650
2014,Females,10 - 14,142702
2014,Females,15 - 19,150090
2014,Females,20 - 24,167324
2014,Females,25 - 29,165545
2014,Females,30 - 34,172264
2014,Females,35 - 39,167323
2014,Females,40 - 44,154103
2014,Females,45 - 49,177605
2014,Females,5 - 9,148856
2014,Females,50 - 54,187142
2014,Females,55 - 59,187031
2014,Females,60 - 64,191909
2014,Females,65 - 69,195527
2014,Females,70 - 74,128836
2014,Females,75 - 79,113191
2014,Females,80 - 85,88410
2014,Females,85 - over,95382
2014,Males,0 - 4,153486
2014,Males,10 - 14,149597
2014,Males,15 - 19,156492
2014,Males,20 - 24,174762
2014,Males,25 - 29,174020
2014,Males,30 - 34,183123
2014,Males,35 - 39,177106
2014,Males,40 - 44,160576
2014,Males,45 - 49,181712
2014,Males,5 - 9,155317
2014,Males,50 - 54,188443
2014,Males,55 - 59,183866
2014,Males,60 - 64,183321
2014,Males,65 - 69,181087
2014,Males,70 - 74,110037
2014,Males,75 - 79,85233
2014,Males,80 - 85,55027
2014,Males,85 - over,38658
2015,Females,0 - 4,143799
2015,Females,10 - 14,143863
2015,Females,15 - 19,147120
2015,Females,20 - 24,165884
2015,Females,25 - 29,166960
2015,Females,30 - 34,173017
2015,Females,35 - 39,168005
2015,Females,40 - 44,155047
2015,Females,45 - 49,173099
2015,Females,5 - 9,150313
2015,Females,50 - 54,186362
2015,Females,55 - 59,185658
2015,Females,60 - 64,190243
2015,Females,65 - 69,198011
2015,Females,70 - 74,140045
2015,Females,75 - 79,112220
2015,Females,80 - 85,87847
2015,Females,85 - over,98325
2015,Males,0 - 4,150579
2015,Males,10 - 14,150064
2015,Males,15 - 19,154051
2015,Males,20 - 24,173332
2015,Males,25 - 29,175568
2015,Males,30 - 34,183915
2015,Males,35 - 39,177811
2015,Males,40 - 44,162832
2015,Males,45 - 49,177270
2015,Males,5 - 9,157405
2015,Males,50 - 54,188139
2015,Males,55 - 59,182452
2015,Males,60 - 64,181417
2015,Males,65 - 69,183252
2015,Males,70 - 74,121120
2015,Males,75 - 79,84974
2015,Males,80 - 85,56388
2015,Males,85 - over,40921
2016,Females,0 - 4,140496
2016,Females,10 - 14,145625
2016,Females,15 - 19,145470
2016,Females,20 - 24,163243
2016,Females,25 - 29,169295
2016,Females,30 - 34,172559
2016,Females,35 - 39,168331
2016,Females,40 - 44,157901
2016,Females,45 - 49,167853
2016,Females,5 - 9,150987
2016,Females,50 - 54,185371
2016,Females,55 - 59,184207
2016,Females,60 - 64,190327
2016,Females,65 - 69,194747
2016,Females,70 - 74,146901
2016,Females,75 - 79,119720
2016,Females,80 - 85,88021
2016,Females,85 - over,99916
2016,Males,0 - 4,147041
2016,Males,10 - 14,152119
2016,Males,15 - 19,153194
2016,Males,20 - 24,171797
2016,Males,25 - 29,178544
2016,Males,30 - 34,184004
2016,Males,35 - 39,178273
2016,Males,40 - 44,166845
2016,Males,45 - 49,171965
2016,Males,5 - 9,157910
2016,Males,50 - 54,187364
2016,Males,55 - 59,181217
2016,Males,60 - 64,181384
2016,Males,65 - 69,180472
2016,Males,70 - 74,128014
2016,Males,75 - 79,92022
2016,Males,80 - 85,57201
2016,Males,85 - over,42961
2017,Females,0 - 4,136051
2017,Females,10 - 14,147620
2017,Females,15 - 19,143840
2017,Females,20 - 24,159738
2017,Females,25 - 29,172102
2017,Females,30 - 34,170593
2017,Females,35 - 39,169737
2017,Females,40 - 44,161943
2017,Females,45 - 49,161558
2017,Females,5 - 9,151721
2017,Females,50 - 54,183869
2017,Females,55 - 59,183582
2017,Females,60 - 64,188012
2017,Females,65 - 69,191919
2017,Females,70 - 74,164019
2017,Females,75 - 79,116605
2017,Females,80 - 85,89455
2017,Females,85 - over,101635
2017,Males,0 - 4,142459
2017,Males,10 - 14,154230
2017,Males,15 - 19,152215
2017,Males,20 - 24,168014
2017,Males,25 - 29,182223
2017,Males,30 - 34,181676
2017,Males,35 - 39,180761
2017,Males,40 - 44,170871
2017,Males,45 - 49,166331
2017,Males,5 - 9,158343
2017,Males,50 - 54,185887
2017,Males,55 - 59,181216
2017,Males,60 - 64,179220
2017,Males,65 - 69,178082
2017,Males,70 - 74,143498
2017,Males,75 - 79,90458
2017,Males,80 - 85,59117
2017,Males,85 - over,44530
2018,Females,0 - 4,130629
2018,Females,10 - 14,149356
2018,Females,15 - 19,144041
2018,Females,20 - 24,155877
2018,Females,25 - 29,172237
2018,Females,30 - 34,169564
2018,Females,35 - 39,172424
2018,Females,40 - 44,166596
2018,Females,45 - 49,155005
2018,Females,5 - 9,151005
2018,Females,50 - 54,181247
2018,Females,55 - 59,185077
2018,Females,60 - 64,185506
2018,Females,65 - 69,187930
2018,Females,70 - 74,176154
2018,Females,75 - 79,117326
2018,Females,80 - 85,92842
2018,Females,85 - over,101813
2018,Males,0 - 4,137057
2018,Males,10 - 14,156182
2018,Males,15 - 19,152126
2018,Males,20 - 24,164499
2018,Males,25 - 29,182635
2018,Males,30 - 34,180832
2018,Males,35 - 39,183327
2018,Males,40 - 44,175769
2018,Males,45 - 49,160573
2018,Males,5 - 9,158005
2018,Males,50 - 54,183302
2018,Males,55 - 59,183156
2018,Males,60 - 64,177055
2018,Males,65 - 69,174278
2018,Males,70 - 74,154506
2018,Males,75 - 79,91933
2018,Males,80 - 85,62247
2018,Males,85 - over,45808
2019,Females,0 - 4,125040
2019,Females,10 - 14,151113
2019,Females,15 - 19,144441
2019,Females,20 - 24,152265
2019,Females,25 - 29,172593
2019,Females,30 - 34,169653
2019,Females,35 - 39,174660
2019,Females,40 - 44,168547
2019,Females,45 - 49,154391
2019,Females,5 - 9,149633
2019,Females,50 - 54,176612
2019,Females,55 - 59,185152
2019,Females,60 - 64,183336
2019,Females,65 - 69,185685
2019,Females,70 - 74,186034
2019,Females,75 - 79,118190
2019,Females,80 - 85,96256
2019,Females,85 - over,103429
2019,Males,0 - 4,130884
2019,Males,10 - 14,157712
2019,Males,15 - 19,152230
2019,Males,20 - 24,161679
2019,Males,25 - 29,183092
2019,Males,30 - 34,181115
2019,Males,35 - 39,186122
2019,Males,40 - 44,177928
2019,Males,45 - 49,159982
2019,Males,5 - 9,156654
2019,Males,50 - 54,179182
2019,Males,55 - 59,183719
2019,Males,60 - 64,176283
2019,Males,65 - 69,171275
2019,Males,70 - 74,163697
2019,Males,75 - 79,93987
2019,Males,80 - 85,65140
2019,Males,85 - over,47581
2020,Females,0 - 4,120783
2020,Females,10 - 14,152888
2020,Females,15 - 19,145710
2020,Females,20 - 24,149232
2020,Females,25 - 29,171182
2020,Females,30 - 34,171633
2020,Females,35 - 39,175975
2020,Females,40 - 44,169595
2020,Females,45 - 49,155532
2020,Females,5 - 9,147016
2020,Females,50 - 54,172290
2020,Females,55 - 59,184318
2020,Females,60 - 64,182117
2020,Females,65 - 69,184130
2020,Females,70 - 74,188295
2020,Females,75 - 79,128684
2020,Females,80 - 85,95454
